feature,target
4.967141530112327175e+00,1.034100011502874850e+01
-1.382643011711846448e+00,-5.598341431064111084e-01
6.476885381006924902e+00,1.947864086988346344e+01
1.523029856408025395e+01,3.906436006409253991e+01
-2.341533747233359719e+00,-1.660262926413444973e+00
-2.341369569491805525e+00,1.166830360343178441e+00
1.579212815507391454e+01,5.391124989373743404e+01
7.674347291529088011e+00,2.505875729298191601e+01
-4.694743859349521209e+00,-5.449107694759981690e+00
5.425600435859646353e+00,1.819177151081828114e+01
-4.634176928124622563e+00,-1.617929839680676452e+01
-4.657297535702568325e+00,-6.775813216502505121e+00
2.419622715660341150e+00,1.135020783885598483e+01
-1.913280244657797979e+01,-3.051579555401852062e+01
-1.724917832513032678e+01,-3.908475063673142813e+01
-5.622875292409727166e+00,-7.549451519356255247e+00
-1.012831120334423751e+01,-2.049433685688681095e+01
3.142473325952738872e+00,7.012793126784186093e+00
-9.080240755212109605e+00,-1.198648781545517039e+01
-1.412303701335291528e+01,-2.654792736994841817e+01
1.465648768921554002e+01,4.559637895825408549e+01
-2.257763004865356748e+00,-5.191344786137086942e+00
6.752820468792384290e-01,1.370217667187859334e+01
-1.424748186213456691e+01,-3.762795996929781950e+01
-5.443827245251826596e+00,-5.675282644128214038e+00
1.109225897098660818e+00,1.872534287179654200e+01
-1.150993577422302749e+01,-2.872752106121100724e+01
3.756980183456719580e+00,1.156096181062793882e+01
-6.006386899188049355e+00,-9.517710422531918013e+00
-2.916937497932767798e+00,-4.809722015412916107e+00
-6.017066122293969421e+00,-1.779598246106558435e+01
1.852278184508937642e+01,5.164976948675358415e+01
-1.349722473793392163e-01,-6.489491870788723915e-01
-1.057710928955900442e+01,-1.907481107072160142e+01
8.225449121031889632e+00,2.096650163141070777e+01
-1.220843649971022238e+01,-1.777141922418785924e+01
2.088635950047553980e+00,6.305323413437697866e+00
-1.959670123879775616e+01,-4.560206067802276664e+01
-1.328186048898430549e+01,-2.413706513561241351e+01
1.968612358691235187e+00,3.767209314558312094e+00
7.384665799954104770e+00,2.459896417290590875e+01
1.713682811899704950e+00,1.581992080116140187e+01
-1.156482823882405198e+00,-5.928623232512150842e+00
-3.011036955892887779e+00,-1.604423097070698301e+00
-1.478521990367427463e+01,-3.066363578794356926e+01
-7.198442083947086623e+00,-9.086990850981166545e+00
-4.606387709597875357e+00,-1.270072282838509814e+01
1.057122226218915628e+01,2.482577259005150694e+01
3.436182895684614103e+00,1.620016506729602312e+01
-1.763040155362734041e+01,-3.759108051790241944e+01
3.240839693947950018e+00,1.435456348659925752e+01
-3.850822804163165358e+00,-2.894815962923035002e+00
-6.769220003059587043e+00,-1.532317361554142110e+01
6.116762888408678656e+00,2.145317570682671260e+01
1.030999522495950949e+01,3.224035042889217806e+01
9.312801191161986125e+00,2.471024588777312658e+01
-8.392175232226385617e+00,-6.651565524842181887e+00
-3.092123758512145937e+00,-3.611447917214274383e-01
3.312634314035639349e+00,7.325068299075856437e+00
9.755451271223591903e+00,3.267139622122812881e+01
-4.791742378452899409e+00,-1.185276429726885539e+01
-1.856589766638171213e+00,4.293948602116832269e+00
-1.106334974006028204e+01,-1.686539645511368590e+01
-1.196206624080670800e+01,-2.900857719377532362e+01
8.125258223941980162e+00,3.013002620607656112e+01
1.356240028570822886e+01,4.096990534895306979e+01
-7.201012158033384125e-01,7.310047760464103206e+00
1.003532897892024067e+01,3.957228736057034268e+01
3.616360250476341243e+00,1.281396004617650064e+01
-6.451197546051242959e+00,-1.489667468691555641e+01
3.613956055084139418e+00,9.587317989582732736e+00
1.538036566465969202e+01,3.937186273682203819e+01
-3.582603910995153518e-01,3.718840475180690497e+00
1.564643655814006173e+01,4.582185126943337394e+01
-2.619745104089744459e+01,-5.911017360559350919e+01
8.219025043752237636e+00,2.968347885456071467e+01
8.704706823817122130e-01,7.241186165343815873e+00
-2.990073504658674608e+00,4.792486624139897344e+00
9.176077653550229751e-01,5.970735247197777262e+00
-1.987568914600892711e+01,-3.108837703207422010e+01
-2.196718878375119477e+00,2.636539542887232468e+00
3.571125715117464239e+00,9.642026505712248508e+00
1.477894044741516133e+01,3.659288862823234467e+01
-5.182702182736473873e+00,-5.544393380625258771e+00
-8.084936028931876351e+00,-1.632965399895894620e+01
-5.017570435845365218e+00,-3.973923619152952558e+00
9.154021177020741362e+00,3.025124106541957758e+01
3.287511096596844595e+00,1.285463317820774698e+01
-5.297602037670388064e+00,-1.247797368451799471e+01
5.132674331133561196e+00,1.025744970440457848e+01
9.707754934804038172e-01,5.194363973365903497e+00
9.686449905328892385e+00,3.349811873493959524e+01
-7.020530938773523744e+00,-1.148085862628279052e+01
-3.276621465977682224e+00,-9.420247558504145857e+00
-3.921081531321576108e+00,-3.936799199048030218e+00
-1.463514948132118576e+01,-2.966128680465877565e+01
2.961202770645760651e+00,7.983719745608737206e+00
2.610552721798893305e+00,1.229500733422487357e+01
5.113456642460889601e-02,5.418880008291521833e+00
-2.345871333751468946e+00,-6.579529823531787613e+00
